freq,c_dest,purpose,duration,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,AFR_OTH,TOTAL,N_GE1,NR,LT	22719 	21316 	37892 	28204 	25531 	39103 	66288 	80408 	19493 	33019 	58427 	79172 
A,AFR_OTH,TOTAL,N_GE1,NR,LU	36526 	40494 	35239 	26023 	27394 	42921 	41983 	44972 	20577 	30032 	69687 	75804 
A,AFR_OTH,TOTAL,N_GE1,NR,LV	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	32933 	59958 
A,AFR_OTH,TOTAL,N_GE1,NR,ME	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 
A,AFR_OTH,TOTAL,N_GE1,NR,MK	: 	: 	: 	: 	: 	: 	: 	: u	: 	: u	: 	: 
A,AFR_OTH,TOTAL,N_GE1,NR,MT	9547 	12264 	9163 bu	: u	: u	: u	8785 u	9117 u	: u	: u	: u	6643 
A,AFR_OTH,TOTAL,N_GE1,NR,NL	515884 b	445514 	418723 	402941 	307079 	439283 	474270 	534406 	129770 	110307 	348521 	432585 
A,AFR_OTH,TOTAL,N_GE1,NR,NO	: 	81839 u	106259 u	117285 u	104548 u	90397 u	95925 u	: 	: 	: u	: 	: 
A,AFR_OTH,TOTAL,N_GE1,NR,PL	317854 	338093 	413193 b	408230 	194652 	227585 	294085 	326007 	67771 	143743 	306135 	430771 
A,AFR_OTH,TOTAL,N_GE1,NR,PT	113523 	86373 	81589 	93469 	63719 	92332 	156645 	159932 	27504 	31080 	156182 	177579 
A,AFR_OTH,TOTAL,N_GE1,NR,RO	: u	: 	: u	: u	: 	: u	: u	: u	: u	26639 	21732 	: u
A,AFR_OTH,TOTAL,N_GE1,NR,RS	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,AFR_OTH,TOTAL,N_GE1,NR,SE	: 	: 	119377 u	112322 u	170155 u	469071 	259930 	274399 u	: u	: u	: u	: 
A,AFR_OTH,TOTAL,N_GE1,NR,SI	26311 u	23297 u	22855 u	: u	: u	: u	23531 u	: u	: u	: u	35237 	41262 
A,AFR_OTH,TOTAL,N_GE1,NR,SK	163805 u	: u	: u	: u	: u	: u	104756 u	162151 u	: u	: u	71329 	159171 
A,AFR_OTH,TOTAL,N_GE1,NR,UK	1904937 	2004917 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,AME,TOTAL,N_GE1,NR,AL	: 	: 	: 	: 	: 	20879 	: 	23133 u	: u	: 	: 	: 
A,AME,TOTAL,N_GE1,NR,AT	281977 	293105 	366893 	322659 	369390 	330963 	297204 	290140 	52302 	46217 	238154 	334819 
A,AME,TOTAL,N_GE1,NR,BE	312816 	343357 	350341 	290352 	388483 	356868 b	414499 	429900 	93291 	95868 	271439 	450803 
A,AME,TOTAL,N_GE1,NR,BG	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,AME,TOTAL,N_GE1,NR,CH	590360 	581850 	594864 	587804 	661277 	603270 	636422 	628169 	96462 	147145 	339544 	: 
A,AME,TOTAL,N_GE1,NR,CY	19802 bu	22431 u	19117 u	20383 u	31838 u	: u	: u	: u	: 	: 	: u	31348 
A,AME,TOTAL,N_GE1,NR,CZ	: u	: u	: u	91383 u	: u	: u	130389 u	: u	: u	: u	85371 	93414 
A,AME,TOTAL,N_GE1,NR,DE	4244060 	4528155 	3826949 	4010395 	4243673 	5356388 	4830714 	4587480 	1030261 	1026728 	3282104 	3437545 
A,AME,TOTAL,N_GE1,NR,DK	420331 	334330 b	365037 	340538 	431691 	322763 	217449 	546648 	: u	: u	164716 	: 
A,AME,TOTAL,N_GE1,NR,EA20	11011881 	10936571 	10054237 	10012797 	11720364 	12557501 	12561644 	12314053 	3007718 	2644167 	9671431 	10509687 
A,AME,TOTAL,N_GE1,NR,EE	: u	: u	: u	37454 u	31830 u	26502 u	36002 u	33481 u	: u	: u	: u	23751 
A,AME,TOTAL,N_GE1,NR,EL	: u	24734 u	17080 u	13493 u	26496 u	32459 	29759 	40236 u	: u	: u	30061 	55282 
A,AME,TOTAL,N_GE1,NR,ES	1107924 	1130937 	1031368 	1157966 b	1388542 	1200898 	1380897 	1278891 	375662 	484582 	1517313 	1471251 
A,AME,TOTAL,N_GE1,NR,EU27_2020	12296502 e	12219646 e	11385974 	11364645 	13113205 	14712474 	14404929 	14286113 	3485241 	2994516 	11168909 	12189637 e
A,AME,TOTAL,N_GE1,NR,FI	247015 b	218783 	300314 	277216 	274938 	256998 	288381 	256170 	: u	: u	192240 	177571 
A,AME,TOTAL,N_GE1,NR,FR	1983018 	2173409 	2038602 	1681636 	1898976 	2068787 	2160661 	2396106 	574734 	332659 	1721498 	1954361 
A,AME,TOTAL,N_GE1,NR,HR	: u	: u	28768 u	78228 u	27308 u	: u	25363 u	: u	: u	: u	22367 	38298 
A,AME,TOTAL,N_GE1,NR,HU	94187 	118365 	126728 	130443 	146448 	137020 	136692 	235644 	47258 	26598 	57015 	104316 
A,AME,TOTAL,N_GE1,NR,IE	402768 	402168 	439082 	417627 	482506 	532595 	568262 	572005 	166046 	: u	445968 	608227 
A,AME,TOTAL,N_GE1,NR,IT	1171040 	736756 	518369 bu	521759 u	1362272 	733160 u	958686 u	754749 u	: u	: u	354859 	449203 
A,AME,TOTAL,N_GE1,NR,LT	28264 	27881 	24077 	25844 	28733 	23075 	18110 	20629 	4800 	3723 	11804 	14367 
A,AME,TOTAL,N_GE1,NR,LU	46955 	55008 	50806 	49498 	51737 	89266 	77670 	75038 	14410 	17007 	77258 	90559 
A,AME,TOTAL,N_GE1,NR,LV	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,AME,TOTAL,N_GE1,NR,ME	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 
A,AME,TOTAL,N_GE1,NR,MK	: 	: 	: 	: 	: 	: 	: 	: u	: 	: u	: 	: 
A,AME,TOTAL,N_GE1,NR,MT	5063 	4251 	8394 bu	7457 u	4771 u	5675 u	9415 u	12386 u	: u	: u	8855 	8975 
A,AME,TOTAL,N_GE1,NR,NL	942661 b	786582 	867536 	920108 	970644 	1175146 	1117004 	1160983 	370808 	365675 	1216479 	1038371 
A,AME,TOTAL,N_GE1,NR,NO	: 	316621 	462802 	415350 	400595 	444665 	365506 	: 	: 	: u	: 	: 
A,AME,TOTAL,N_GE1,NR,PL	141543 u	204481 	204493 b	222882 	249744 	254488 	274576 	299221 	99047 	96249 	259467 	318561 
A,AME,TOTAL,N_GE1,NR,PT	97782 	83679 	102704 	117078 	80630 	169494 	177725 	184310 	36684 	60252 	173916 	215159 
A,AME,TOTAL,N_GE1,NR,RO	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,AME,TOTAL,N_GE1,NR,RS	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,AME,TOTAL,N_GE1,NR,SE	: 	: 	561355 	555650 	477343 	1352068 	1072287 	795140 	234813 	: u	919600 	: 
A,AME,TOTAL,N_GE1,NR,SI	: u	: u	: u	: u	36519 u	: u	: u	: u	: u	18257 	23980 	22347 
A,AME,TOTAL,N_GE1,NR,SK	: u	: u	: u	: u	: u	: u	95788 u	137944 u	: u	: u	: u	76512 
A,AME,TOTAL,N_GE1,NR,UK	4605990 	4613000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,AME_C_S,TOTAL,N_GE1,NR,AT	91572 u	96425 u	123518 u	129468 	123404 	110116 u	100713 u	101956 u	: u	: u	73270 	106145 
A,AME_C_S,TOTAL,N_GE1,NR,BE	104778 u	150079 	137252 	99782 	149518 	118742 b	194962 	180892 	31531 	67224 	125405 	190348 
A,AME_C_S,TOTAL,N_GE1,NR,BG	: 	: u	: u	: 	: u	: u	: u	: u	: 	: 	: u	: u
A,AME_C_S,TOTAL,N_GE1,NR,CH	165786 u	175148 u	216300 u	163463 u	216500 	198575 u	262116 u	197171 u	: u	: u	174607 	: 
A,AME_C_S,TOTAL,N_GE1,NR,CY	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 	: u	: u
A,AME_C_S,TOTAL,N_GE1,NR,CZ	: u	: u	: u	: u	: u	: u	74602 u	: u	: 	: u	: u	: u
A,AME_C_S,TOTAL,N_GE1,NR,DE	1232000 u	1335822 	1228022 	1304555 u	1512209 	1958185 	1687600 	1816295 	536432 	: u	1090941 	1193815 
A,AME_C_S,TOTAL,N_GE1,NR,DK	: u	: u	: u	81472 u	75077 u	: u	: u	161735 u	: u	: u	: u	: 
A,AME_C_S,TOTAL,N_GE1,NR,EA20	3947985 	3750425 	3645322 	3894922 	4349490 	4860556 	4836242 	4906197 	1601222 	1558461 	3989827 	3992145 
A,AME_C_S,TOTAL,N_GE1,NR,EE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,AME_C_S,TOTAL,N_GE1,NR,EL	: u	: 	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,AME_C_S,TOTAL,N_GE1,NR,ES	743880 	807953 	695346 	815589 b	928604 	765045 	836986 	782624 	285474 	409369 	987630 	930707 
A,AME_C_S,TOTAL,N_GE1,NR,EU27_2020	4257432 e	4080935 e	3995782 	4245391 	4693155 	5294096 	5327497 	5469638 	1803235 	1665829 	4582806 	4636945 e
A,AME_C_S,TOTAL,N_GE1,NR,FI	89024 bu	77598 u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,AME_C_S,TOTAL,N_GE1,NR,FR	724113 	726242 	742517 	709740 	714206 	798571 	722743 	897651 	272388 	196855 	622559 	538700 
A,AME_C_S,TOTAL,N_GE1,NR,HR	: 	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u
A,AME_C_S,TOTAL,N_GE1,NR,HU	14086 	16712 	17143 	22464 	26844 	36361 	40205 	48556 	10502 	10333 	19963 	31345 
A,AME_C_S,TOTAL,N_GE1,NR,IE	51475 u	34724 u	31263 u	36343 u	37329 u	29390 u	67379 u	39373 u	: u	: 	: u	: u
A,AME_C_S,TOTAL,N_GE1,NR,IT	434749 	163276 u	: u	: u	: u	: u	554116 u	: u	: u	: u	: u	: u
A,AME_C_S,TOTAL,N_GE1,NR,LT	: u	: u	: u	2826 u	3428 u	: u	3865 u	: u	: u	: u	: u	5728 
A,AME_C_S,TOTAL,N_GE1,NR,LU	13153 u	15384 u	15054 u	19732 	21153 	43293 	25879 	24022 	9287 	8758 	32978 	28759 
A,AME_C_S,TOTAL,N_GE1,NR,LV	: u	: 	: u	: 	: u	: u	: u	: u	: u	: u	: u	: u
A,AME_C_S,TOTAL,N_GE1,NR,ME	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 
A,AME_C_S,TOTAL,N_GE1,NR,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
A,AME_C_S,TOTAL,N_GE1,NR,MT	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,AME_C_S,TOTAL,N_GE1,NR,NL	340174 b	267436 	374862 	391550 	398258 	499381 	445144 	488982 	278221 	276480 	624788 	459469 
A,AME_C_S,TOTAL,N_GE1,NR,NO	: 	79856 u	113537 u	113947 u	79705 u	91182 u	: u	: 	: 	: u	: 	: 
A,AME_C_S,TOTAL,N_GE1,NR,PL	: u	: u	68794 b	76374 	89967 	86414 	95203 	103402 	49968 	55018 	103070 	117596 
A,AME_C_S,TOTAL,N_GE1,NR,PT	73670 	47194 u	66707 	79271 	47676 	102581 	113860 	119593 	26239 	46735 	127699 	154551 
A,AME_C_S,TOTAL,N_GE1,NR,RO	: 	: u	: 	: 	: 	: 	: 	: u	: 	: 	: 	: u
A,AME_C_S,TOTAL,N_GE1,NR,RS	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,AME_C_S,TOTAL,N_GE1,NR,SE	: 	: 	175011 u	129879 u	123038 u	237442 u	244496 u	209603 u	: u	: u	: u	: 
A,AME_C_S,TOTAL,N_GE1,NR,SI	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,AME_C_S,TOTAL,N_GE1,NR,SK	: u	: 	: 	: 	: 	: u	: u	: u	: 	: u	: u	: u
A,AME_C_S,TOTAL,N_GE1,NR,UK	1295340 	1349821 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,AME_C_S_OTH,TOTAL,N_GE1,NR,AT	82421 u	82370 u	93553 u	104504 u	101270 u	102272 u	94010 u	88397 u	: u	: u	68656 	102660 
A,AME_C_S_OTH,TOTAL,N_GE1,NR,BE	89930 u	124094 	119157 	95285 	138763 	115704 b	185697 	159130 	: u	57987 	106190 	171817 
A,AME_C_S_OTH,TOTAL,N_GE1,NR,BG	: 	: u	: u	: 	: u	: u	: u	: u	: 	: 	: u	: u
A,AME_C_S_OTH,TOTAL,N_GE1,NR,CH	145261 u	140650 u	150416 u	136891 u	184347 	180135 u	227081 u	169161 u	: u	: u	: u	: 
A,AME_C_S_OTH,TOTAL,N_GE1,NR,CY	: u	: u	: 	: u	: u	: u	: u	: u	: 	: 	: u	: u
A,AME_C_S_OTH,TOTAL,N_GE1,NR,CZ	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u
A,AME_C_S_OTH,TOTAL,N_GE1,NR,DE	1002989 u	1027119 u	1017431 u	1094968 u	1426138 	1598052 	1427394 	1743990 	521066 	: u	1012473 	1038121 
A,AME_C_S_OTH,TOTAL,N_GE1,NR,DK	: u	: u	: u	77542 u	: u	: u	: u	140409 u	: u	: u	: u	: 
A,AME_C_S_OTH,TOTAL,N_GE1,NR,EA20	3430655 	3173335 	3131132 	3367489 	4056310 	4214856 	4258449 	4509915 	1535183 	1429920 	3608250 	3538363 
A,AME_C_S_OTH,TOTAL,N_GE1,NR,EE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,AME_C_S_OTH,TOTAL,N_GE1,NR,EL	: u	: 	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,AME_C_S_OTH,TOTAL,N_GE1,NR,ES	671296 	753370 	649183 	773085 b	898218 	724684 	816405 	723987 	267240 	382801 	948679 	867611 
A,AME_C_S_OTH,TOTAL,N_GE1,NR,EU27_2020	3675059 e	3443813 e	3408801 	3681443 	4350529 	4627046 	4720836 	4984599 	1723668 	1517868 	4153672 	4121887 e
A,AME_C_S_OTH,TOTAL,N_GE1,NR,FI	72977 bu	63373 u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,AME_C_S_OTH,TOTAL,N_GE1,NR,FR	660012 	639652 	681233 	635332 	652551 	699882 	690092 	828257 	268189 	190768 	572365 	475846 
A,AME_C_S_OTH,TOTAL,N_GE1,NR,HR	: 	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u
A,AME_C_S_OTH,TOTAL,N_GE1,NR,HU	11471 	14040 	10992 	17895 	21973 	33839 	39621 	45269 	9814 	9937 	19963 	28044 
A,AME_C_S_OTH,TOTAL,N_GE1,NR,IE	47370 u	34724 u	24385 u	: u	36624 u	28010 u	65432 u	32985 u	: u	: 	: u	: u
A,AME_C_S_OTH,TOTAL,N_GE1,NR,IT	375288 u	138135 u	: u	: u	: u	: u	378233 u	: u	: u	: u	: u	: u
A,AME_C_S_OTH,TOTAL,N_GE1,NR,LT	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,AME_C_S_OTH,TOTAL,N_GE1,NR,LU	10864 u	12935 u	13225 u	17707 	18918 u	36516 	22338 	20984 	7470 	: u	21369 	24507 
A,AME_C_S_OTH,TOTAL,N_GE1,NR,LV	: u	: 	: u	: 	: u	: u	: u	: 	: u	: u	: u	: u
A,AME_C_S_OTH,TOTAL,N_GE1,NR,ME	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 
A,AME_C_S_OTH,TOTAL,N_GE1,NR,MT	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,AME_C_S_OTH,TOTAL,N_GE1,NR,NL	327795 b	251846 	345483 	361008 	361052 	480707 	428736 	468002 	273271 	256960 	570097 	431460 
A,AME_C_S_OTH,TOTAL,N_GE1,NR,NO	: 	56355 u	79472 u	79479 u	: u	80797 u	: u	: 	: 	: u	: 	: 
A,AME_C_S_OTH,TOTAL,N_GE1,NR,PL	: u	: u	59320 b	68764 	83720 	82366 	89962 	97708 	47516 	52459 	98411 	112876 
A,AME_C_S_OTH,TOTAL,N_GE1,NR,PT	43353 u	: u	27650 u	29655 u	22668 u	55337 	66336 	80717 	: u	: u	74153 	81888 
A,AME_C_S_OTH,TOTAL,N_GE1,NR,RO	: 	: u	: 	: 	: 	: 	: 	: u	: 	: 	: 	: u
A,AME_C_S_OTH,TOTAL,N_GE1,NR,RS	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,AME_C_S_OTH,TOTAL,N_GE1,NR,SE	: 	: 	138633 u	123307 u	111687 u	222662 u	231007 u	151152 u	: u	: u	: u	: 
A,AME_C_S_OTH,TOTAL,N_GE1,NR,SI	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,AME_C_S_OTH,TOTAL,N_GE1,NR,SK	: u	: 	: 	: 	: 	: u	: u	: u	: 	: u	: u	: u
A,AME_C_S_OTH,TOTAL,N_GE1,NR,UK	1183039 	1256171 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,AME_N,TOTAL,N_GE1,NR,AL	: 	: 	: 	: 	: 	20879 	: 	23133 u	: u	: 	: 	: 
A,AME_N,TOTAL,N_GE1,NR,AT	190405 	196681 	243375 	193191 	245986 	220847 	196491 	188184 	: u	: u	164884 	228674 
A,AME_N,TOTAL,N_GE1,NR,BE	208038 	193278 	213090 	190570 	238965 	238126 b	219537 	249009 	61760 	: u	146034 	260454 
A,AME_N,TOTAL,N_GE1,NR,BG	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,AME_N,TOTAL,N_GE1,NR,CH	424574 	406702 	378563 	424341 	444777 	404695 	374306 	430998 	: u	: u	164938 	: 
A,AME_N,TOTAL,N_GE1,NR,CY	14513 bu	15986 u	18353 u	17839 u	28676 u	: u	: u	: u	: 	: 	: u	27015 
A,AME_N,TOTAL,N_GE1,NR,CZ	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,AME_N,TOTAL,N_GE1,NR,DE	3012060 	3192334 	2598927 	2705840 	2731464 	3398204 	3143114 	2771186 	: u	: u	2191163 	2243729 
A,AME_N,TOTAL,N_GE1,NR,DK	354583 	281668 b	309947 	259066 	356615 	286099 	188634 	384913 	: u	: u	114725 	: 
A,AME_N,TOTAL,N_GE1,NR,EA20	7063896 	7186146 	6408915 	6117875 	7370874 	7696945 	7725402 	7407856 	1406496 	1085706 	5681604 	6517542 
A,AME_N,TOTAL,N_GE1,NR,EE	: u	: u	: u	: u	25383 u	: u	: u	22057 u	: u	: 	: u	: u
A,AME_N,TOTAL,N_GE1,NR,EL	: u	24734 u	15324 u	: u	22930 u	29960 u	28332 	20194 u	: u	: u	18868 	46670 
A,AME_N,TOTAL,N_GE1,NR,ES	364044 	322984 	336022 	342377 b	459939 	435852 	543911 	496267 	90188 	75213 	529683 	540544 
